action_code,actor,actor_role,camera_movement,changed,clip_end_frame,clip_start_frame,criterion,description,end_direction,end_frame,example_id,mind_change,rank,retraction_direction_code,start_direction,start_frame,target_context_1,target_context_2,target_structure,tool_type,triplet,video_id
dissect,right,,,,1050,450,C2,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,690,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000450_001050,unsatisfied->satisfied,1,,,450,between cystic artery and cystic plate,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",00467596-8200-449c-8528-d4816ec2f6a2
The camera is uncertain,camera,,The camera is uncertain,,1050,450,C2,The camera is uncertain.,,1050,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_000450_001050,unsatisfied->satisfied,3,,,450,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
,left,,,not changed,1650,1350,C2,The grasper keeps the gallbladder neck retracted medial.,medial,1650,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_001350_001650,unsatisfied->satisfied,2,keep retracted medial,medial,1350,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
coagulate hemostasis,right,,,,1650,1350,C2,"The hook coagulate hemostasis the cystic artery, between cystic artery and cystic plate.",,1650,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_001350_001650,unsatisfied->satisfied,1,,,1350,between cystic artery and cystic plate,,cystic artery,hook,"[""hook"", ""coagulate hemostasis"", ""cystic artery""]",00467596-8200-449c-8528-d4816ec2f6a2
,left,,,changed,2400,2100,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,2160,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,unsatisfied->satisfied,3,retract to lateral,not retracted,2100,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
dissect,right,,,,2400,2100,C2,"The hook dissects around the cystic artery, between cystic artery and cystic plate, and close to the gallbladder neck.",,2280,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,unsatisfied->satisfied,1,,,2160,between cystic artery and cystic plate,close to the gallbladder neck,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",00467596-8200-449c-8528-d4816ec2f6a2
The camera repositions,camera,,The camera repositions,,2400,2100,C2,The camera repositions.,,2250,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,unsatisfied->satisfied,2,,,2100,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
The camera zooms out,camera,,The camera zooms out,,2400,2100,C2,The camera zooms out.,,2400,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,unsatisfied->satisfied,2,,,2250,,,,,,00467596-8200-449c-8528-d4816ec2f6a2
,left,,,not changed,1950,1650,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,1950,004fa282-7e76-473e-bf34-01fe831368dc__C1__avg__c_001650_001950,unsatisfied->satisfied,2,keep retracted lateral,lateral,1650,,,,,,004fa282-7e76-473e-bf34-01fe831368dc
dissect,right,,,,1950,1650,C1,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1770,004fa282-7e76-473e-bf34-01fe831368dc__C1__avg__c_001650_001950,unsatisfied->satisfied,1,,,1650,between presumed cystic duct and presumed cystic artery,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",004fa282-7e76-473e-bf34-01fe831368dc
dissect,right,,,,1950,1650,C1,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,1950,004fa282-7e76-473e-bf34-01fe831368dc__C1__avg__c_001650_001950,unsatisfied->satisfied,1,,,1770,between cystic artery and cystic plate,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",004fa282-7e76-473e-bf34-01fe831368dc
,left,,,not changed,1050,450,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1050,004fa282-7e76-473e-bf34-01fe831368dc__C2__avg__c_000450_001050,unsatisfied->satisfied,2,keep retracted lateral,lateral,450,,,,,,004fa282-7e76-473e-bf34-01fe831368dc
dissect,right,,,,1050,450,C2,"The hook dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1050,004fa282-7e76-473e-bf34-01fe831368dc__C2__avg__c_000450_001050,unsatisfied->satisfied,1,,,450,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",004fa282-7e76-473e-bf34-01fe831368dc
,left,,,changed,2100,1350,C3,The grasper retracts the gallbladder neck from lateral to upward.,upward,1380,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,2,retract from lateral to upward,lateral,1350,,,,,,004fa282-7e76-473e-bf34-01fe831368dc
,left,,,changed,2100,1350,C3,The grasper retracts the gallbladder neck from upward to lateral.,lateral,1590,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,3,retract from upward to lateral,upward,1560,,,,,,004fa282-7e76-473e-bf34-01fe831368dc
dissect,right,,,,2100,1350,C3,The hook dissects around the cystic plate.,,1530,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,1,,,1380,,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",004fa282-7e76-473e-bf34-01fe831368dc
dissect,right,,,,2100,1350,C3,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1740,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,1,,,1680,between presumed cystic duct and presumed cystic artery,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",004fa282-7e76-473e-bf34-01fe831368dc
dissect,right,,,,2100,1350,C3,"The hook dissects around the cystic plate, between presumed cystic duct and presumed cystic artery.",,1950,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,1,,,1770,between presumed cystic duct and presumed cystic artery,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",004fa282-7e76-473e-bf34-01fe831368dc
dissect,right,,,,2100,1350,C3,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,2070,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,unsatisfied->satisfied,1,,,2010,between presumed cystic duct and presumed cystic artery,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",004fa282-7e76-473e-bf34-01fe831368dc
,left,,,not changed,1500,1050,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,1500,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001050_001500,unsatisfied->satisfied,2,keep retracted lateral,lateral,1050,,,,,,01950655-a507-4514-abe5-d13ff593ec4d
dissect,right,,,,1500,1050,C3,"The hook dissects around the hepatocystic triangle, near the cystic plate.",,1500,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001050_001500,unsatisfied->satisfied,1,,,1050,near the cystic plate,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",01950655-a507-4514-abe5-d13ff593ec4d
The camera does not change,camera,,The camera does not change,,1500,1050,C3,The camera does not change.,,1500,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001050_001500,unsatisfied->satisfied,3,,,1050,,,,,,01950655-a507-4514-abe5-d13ff593ec4d
,left,,,not changed,2400,1950,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,2400,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001950_002400,unsatisfied->satisfied,2,keep retracted lateral,lateral,1950,,,,,,01950655-a507-4514-abe5-d13ff593ec4d
dissect,right,,,,2400,1950,C3,"The hook dissects around the hepatocystic triangle, near the cystic plate.",,2400,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001950_002400,unsatisfied->satisfied,1,,,1950,near the cystic plate,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",01950655-a507-4514-abe5-d13ff593ec4d
,left,,,changed,1050,450,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,690,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C2__avg__c_000450_001050,unsatisfied->satisfied,2,retract to lateral,not retracted,630,,,,,,021ebd6a-3195-40ac-b86d-99ac5e5ef621
dissect,right,,,,1050,450,C2,"The maryland dissects around the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1050,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C2__avg__c_000450_001050,unsatisfied->satisfied,1,,,690,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,maryland,"[""maryland"", ""dissect"", ""hepatocystic triangle""]",021ebd6a-3195-40ac-b86d-99ac5e5ef621
,left,,,changed,900,450,C3,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,690,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C3__avg__c_000450_000900,unsatisfied->satisfied,1,retract to lateral,not retracted,630,,,,,,021ebd6a-3195-40ac-b86d-99ac5e5ef621
The camera zooms in,camera,,The camera zooms in,,900,450,C3,The camera zooms in.,,900,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C3__avg__c_000450_000900,unsatisfied->satisfied,2,,,750,,,,,,021ebd6a-3195-40ac-b86d-99ac5e5ef621
,left,,,not changed,2100,1500,C1,The grasper keeps the gallbladder neck retracted lateral.,lateral,2100,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,unsatisfied->satisfied,2,keep retracted lateral,lateral,1500,,,,,,0405e4b0-843a-469d-a235-6a12383bc1db
dissect,right,,,,2100,1500,C1,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1680,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,unsatisfied->satisfied,1,,,1500,between presumed cystic duct and presumed cystic artery,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",0405e4b0-843a-469d-a235-6a12383bc1db
dissect,right,,,,2100,1500,C1,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,1890,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,unsatisfied->satisfied,1,,,1710,between cystic artery and cystic plate,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",0405e4b0-843a-469d-a235-6a12383bc1db
dissect,right,,,,2100,1500,C1,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,2070,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,unsatisfied->satisfied,1,,,1860,between presumed cystic duct and presumed cystic artery,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",0405e4b0-843a-469d-a235-6a12383bc1db
,left,,,not changed,2100,1500,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,2100,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,unsatisfied->satisfied,2,keep retracted lateral,lateral,1500,,,,,,0405e4b0-843a-469d-a235-6a12383bc1db
dissect,right,,,,2100,1500,C2,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1680,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,unsatisfied->satisfied,1,,,1500,between presumed cystic duct and presumed cystic artery,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",0405e4b0-843a-469d-a235-6a12383bc1db
dissect,right,,,,2100,1500,C2,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,1890,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,unsatisfied->satisfied,1,,,1710,between cystic artery and cystic plate,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",0405e4b0-843a-469d-a235-6a12383bc1db
dissect,right,,,,2100,1500,C2,"The hook dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,2070,0405e4b0-843a-469d-a235-6a12383bc1db__C2__avg__c_001500_002100,unsatisfied->satisfied,1,,,1860,between presumed cystic duct and presumed cystic artery,,cystic duct,hook,"[""hook"", ""dissect"", ""cystic duct""]",0405e4b0-843a-469d-a235-6a12383bc1db
,left,,,changed,1350,900,C2,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1230,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_000900_001350,unsatisfied->satisfied,1,retract from medial to lateral,medial,1170,,,,,,06cc10f4-8b31-4112-b024-ea1818c5d096
dissect,right,,,,1350,900,C2,The hook dissects around the cystic plate.,,1040,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_000900_001350,unsatisfied->satisfied,2,,,900,,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",06cc10f4-8b31-4112-b024-ea1818c5d096
irrigator countertraction assist,right,,,,1350,900,C2,The hook irrigator countertraction assist the cystic plate.,,1260,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_000900_001350,unsatisfied->satisfied,2,,,1230,,,cystic plate,hook,"[""hook"", ""irrigator countertraction assist"", ""cystic plate""]",06cc10f4-8b31-4112-b024-ea1818c5d096
retract downward,right,,,,1350,900,C2,"The hook retract downward the hepatocystic triangle, near the base of the hepatocystic triangle.",,1350,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_000900_001350,unsatisfied->satisfied,2,,,1320,near the base of the hepatocystic triangle,,hepatocystic triangle,hook,"[""hook"", ""retract downward"", ""hepatocystic triangle""]",06cc10f4-8b31-4112-b024-ea1818c5d096
,left,,,not changed,2250,1800,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_001800_002250,unsatisfied->satisfied,2,keep retracted lateral,lateral,1800,,,,,,06cc10f4-8b31-4112-b024-ea1818c5d096
tool withdraw unblocks view,right,,,,2250,1800,C2,The maryland tool withdraw unblocks view the hepatocystic triangle.,,2250,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_001800_002250,unsatisfied->satisfied,1,,,1800,,,hepatocystic triangle,maryland,"[""maryland"", ""tool withdraw unblocks view"", ""hepatocystic triangle""]",06cc10f4-8b31-4112-b024-ea1818c5d096
The camera zooms out,camera,,The camera zooms out,,2250,1800,C2,The camera zooms out.,,2250,06cc10f4-8b31-4112-b024-ea1818c5d096__C2__avg__c_001800_002250,unsatisfied->satisfied,3,,,2100,,,,,,06cc10f4-8b31-4112-b024-ea1818c5d096
,left,,,changed,1050,600,C3,The grasper retracts the gallbladder neck from lateral to medial.,medial,900,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,unsatisfied->satisfied,2,retract from lateral to medial,lateral,720,,,,,,06cc10f4-8b31-4112-b024-ea1818c5d096
dissect,right,,,,1050,600,C3,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,690,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,unsatisfied->satisfied,1,,,600,between cystic artery and cystic plate,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",06cc10f4-8b31-4112-b024-ea1818c5d096
irrigator countertraction assist,right,,,,1050,600,C3,"The hook irrigator countertraction assist the cystic artery, between cystic artery and cystic plate.",,810,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,unsatisfied->satisfied,1,,,750,between cystic artery and cystic plate,,cystic artery,hook,"[""hook"", ""irrigator countertraction assist"", ""cystic artery""]",06cc10f4-8b31-4112-b024-ea1818c5d096
dissect,right,,,,1050,600,C3,"The hook dissects around the cystic plate, between cystic artery and cystic plate.",,1050,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,unsatisfied->satisfied,1,,,900,between cystic artery and cystic plate,,cystic plate,hook,"[""hook"", ""dissect"", ""cystic plate""]",06cc10f4-8b31-4112-b024-ea1818c5d096
,left,,,not changed,2100,1800,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,2100,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_001800_002100,unsatisfied->satisfied,2,keep retracted lateral,lateral,1800,,,,,,06cc10f4-8b31-4112-b024-ea1818c5d096
tool withdraw unblocks view,right,,,,2100,1800,C3,The maryland tool withdraw unblocks view the cystic plate.,,2100,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_001800_002100,unsatisfied->satisfied,1,,,1800,,,cystic plate,maryland,"[""maryland"", ""tool withdraw unblocks view"", ""cystic plate""]",06cc10f4-8b31-4112-b024-ea1818c5d096
,left,,,not changed,900,450,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,900,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,unsatisfied->satisfied,3,keep retracted lateral,lateral,450,,,,,,0a094835-5933-4f29-a184-6bfa46579272
dissect,right,,,,900,450,C3,"The hook dissects around the cystic artery, between cystic artery and cystic plate.",,600,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,unsatisfied->satisfied,4,,,450,between cystic artery and cystic plate,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",0a094835-5933-4f29-a184-6bfa46579272
dissect,right,,,,900,450,C3,"The hook dissects around the cystic artery, between presumed cystic duct and presumed cystic artery.",,660,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,unsatisfied->satisfied,4,,,600,between presumed cystic duct and presumed cystic artery,,cystic artery,hook,"[""hook"", ""dissect"", ""cystic artery""]",0a094835-5933-4f29-a184-6bfa46579272
tool withdraw unblocks view,right,,,,900,450,C3,The hook tool withdraw unblocks view the cystic plate.,,690,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,unsatisfied->satisfied,1,,,660,,,cystic plate,hook,"[""hook"", ""tool withdraw unblocks view"", ""cystic plate""]",0a094835-5933-4f29-a184-6bfa46579272
The camera zooms out,camera,,The camera zooms out,,900,450,C3,The camera zooms out.,,900,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_000450_000900,unsatisfied->satisfied,2,,,750,,,,,,0a094835-5933-4f29-a184-6bfa46579272
,left,,,not changed,1500,1200,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,1500,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_001200_001500,unsatisfied->satisfied,2,keep retracted lateral,lateral,1200,,,,,,0a094835-5933-4f29-a184-6bfa46579272
tool withdraw unblocks view,right,,,,1500,1200,C3,"The maryland tool withdraw unblocks view the hepatocystic triangle, between presumed cystic duct and presumed cystic artery.",,1230,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_001200_001500,unsatisfied->satisfied,1,,,1200,between presumed cystic duct and presumed cystic artery,,hepatocystic triangle,maryland,"[""maryland"", ""tool withdraw unblocks view"", ""hepatocystic triangle""]",0a094835-5933-4f29-a184-6bfa46579272
dissect,right,,,,1500,1200,C3,"The maryland dissects around the cystic duct, between presumed cystic duct and presumed cystic artery.",,1320,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_001200_001500,unsatisfied->satisfied,1,,,1290,between presumed cystic duct and presumed cystic artery,,cystic duct,maryland,"[""maryland"", ""dissect"", ""cystic duct""]",0a094835-5933-4f29-a184-6bfa46579272
tool withdraw unblocks view,right,,,,1500,1200,C3,The maryland tool withdraw unblocks view the hepatocystic triangle.,,1350,0a094835-5933-4f29-a184-6bfa46579272__C3__avg__c_001200_001500,unsatisfied->satisfied,1,,,1320,,,hepatocystic triangle,maryland,"[""maryland"", ""tool withdraw unblocks view"", ""hepatocystic triangle""]",0a094835-5933-4f29-a184-6bfa46579272
,left,,,not changed,2250,1950,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C2__avg__c_001950_002250,unsatisfied->satisfied,1,keep retracted lateral,lateral,1950,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
The camera repositions,camera,,The camera repositions,,2250,1950,C2,The camera repositions.,,2100,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C2__avg__c_001950_002250,unsatisfied->satisfied,2,,,1950,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
The camera zooms in,camera,,The camera zooms in,,2250,1950,C2,The camera zooms in.,,2250,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C2__avg__c_001950_002250,unsatisfied->satisfied,2,,,2100,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
,left,,,not changed,2250,1950,C3,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C3__avg__c_001950_002250,unsatisfied->satisfied,1,keep retracted lateral,lateral,1950,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
The camera repositions,camera,,The camera repositions,,2250,1950,C3,The camera repositions.,,2100,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C3__avg__c_001950_002250,unsatisfied->satisfied,2,,,1950,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
The camera zooms in,camera,,The camera zooms in,,2250,1950,C3,The camera zooms in.,,2250,0c54c281-0d1f-4403-81ee-82fcfc3c0d76__C3__avg__c_001950_002250,unsatisfied->satisfied,2,,,2100,,,,,,0c54c281-0d1f-4403-81ee-82fcfc3c0d76
,left,,,changed,1800,1500,C2,The grasper retracts the gallbladder neck from not retracted to lateral.,lateral,1680,0e5b6b69-2ddb-497e-bc25-aad5fe062df8__C2__avg__c_001500_001800,unsatisfied->satisfied,1,retract to lateral,not retracted,1500,,,,,,0e5b6b69-2ddb-497e-bc25-aad5fe062df8
dissect,right,,,,1800,1500,C2,"The maryland dissects around the cystic artery, between cystic artery and cystic plate.",,1710,0e5b6b69-2ddb-497e-bc25-aad5fe062df8__C2__avg__c_001500_001800,unsatisfied->satisfied,3,,,1710,between cystic artery and cystic plate,,cystic artery,maryland,"[""maryland"", ""dissect"", ""cystic artery""]",0e5b6b69-2ddb-497e-bc25-aad5fe062df8
The camera is uncertain,camera,,The camera is uncertain,,1800,1500,C2,The camera is uncertain.,,1800,0e5b6b69-2ddb-497e-bc25-aad5fe062df8__C2__avg__c_001500_001800,unsatisfied->satisfied,2,,,1650,,,,,,0e5b6b69-2ddb-497e-bc25-aad5fe062df8
,left,,,changed,2250,1800,C1,The grasper retracts the gallbladder neck from medial to lateral.,lateral,1950,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C1__avg__c_001800_002250,unsatisfied->satisfied,2,retract from medial to lateral,medial,1920,,,,,,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b
dissect,right,,,,2250,1800,C1,"The hook dissects around the hepatocystic triangle, near the base of the hepatocystic triangle.",,1920,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C1__avg__c_001800_002250,unsatisfied->satisfied,3,,,1800,near the base of the hepatocystic triangle,,hepatocystic triangle,hook,"[""hook"", ""dissect"", ""hepatocystic triangle""]",0f7bd02b-4292-432a-a1bc-bfdf3b53d56b
switch ICG,other,,,,2250,1800,C1,"The view switches to ICG fluorescence, improving visualization and helping confirm the identity of the biliary structures.",,2200,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C1__avg__c_001800_002250,unsatisfied->satisfied,1,,,2070,,,hepatocystic triangle,,,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b
,left,,,not changed,2250,1950,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,2250,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C2__avg__c_001950_002250,unsatisfied->satisfied,1,keep retracted lateral,lateral,1950,,,,,,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b
switch ICG,other,,,,2250,1950,C2,"An instrument switches to ICG view of the hepatocystic triangle, to improve visualization and help confirm the identity of the biliary structures.",,2190,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b__C2__avg__c_001950_002250,unsatisfied->satisfied,2,,,2070,,,hepatocystic triangle,,,0f7bd02b-4292-432a-a1bc-bfdf3b53d56b
,left,,,not changed,1800,1500,C2,The grasper keeps the gallbladder neck retracted lateral.,lateral,1800,0f7ff338-1195-4482-b26b-530858de1811__C2__avg__c_001500_001800,unsatisfied->satisfied,2,keep retracted lateral,lateral,1500,,,,,,0f7ff338-1195-4482-b26b-530858de1811
