sentence,vid,example_id,region,rank,cluster_id,actor_role,tool_type,action_code,target_structure,target_relation,direction,view_change,effect,effect_structure,landmark_confidence,causal_for_mind_change
The camera zooms out and rotates and rotates to give a clearer view of the structures in the dissection plane.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,fine_0,3,28,camera,Unknown,CAMERA_ZOOM_OUT,Unknown,unknown,unknown,rotated/new_surface_exposed,unknown,SurgicalFieldGeneral,unknown,
The camera zooms out and rotates and rotates to give a clearer view of the structures in the dissection plane.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_001500_001800,coarse,3,28,camera,Unknown,CAMERA_ZOOM_OUT,Unknown,unknown,unknown,rotated/new_surface_exposed,unknown,SurgicalFieldGeneral,unknown,
The camera zooms out and rotates and rotates to give a clearer view of the structures in the dissection plane.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_001500_001800,fine_0,3,28,camera,Unknown,CAMERA_ZOOM_OUT,Unknown,unknown,unknown,rotated/new_surface_exposed,unknown,SurgicalFieldGeneral,unknown,
The camera zooms out and rotates to give a clearer view of the structures in the dissection plane.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,coarse,3,28,camera,Unknown,CAMERA_ZOOM_OUT,Unknown,unknown,unknown,rotated/new_surface_exposed,unknown,SurgicalFieldGeneral,unknown,
The camera pulls back for visibility of a broader region.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_002100_002400,fine_0,3,61,camera,Unknown,CAMERA_ZOOM_OUT,Unknown,unknown,unknown,none,unknown,SurgicalFieldGeneral,unknown,
The right hook coagulates a small amount of connective tissue in the hepatocystic triangle.,00467596-8200-449c-8528-d4816ec2f6a2,00467596-8200-449c-8528-d4816ec2f6a2__C2__avg__c_001350_001650,coarse,1,19,right_instrument,Hook,COAGULATE_HEMOSTASIS,HepatocysticTriangle,unknown,unknown,none,hemostasis,HepatocysticTriangle,unknown,
"The left-side bipolar dissects connective tissue in the hepatocystic triangle, separating two tubular structures.",1cd76ca0-9ddb-4204-a783-bd245a6cc604,1cd76ca0-9ddb-4204-a783-bd245a6cc604__C1__avg__c_000000_000450,coarse,1,17,left_instrument,Bipolar,DISSECT_ISOLATE_TUBULAR_STRUCTURES,TwoTubularStructures,unknown,unknown,none,unknown,TwoTubularStructures,unknown,
The right hook dissects connective tissue in the hepatocystic triangle to isolate tubular structures.,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_001500_002250,fine_0,1,17,right_instrument,Hook,DISSECT_ISOLATE_TUBULAR_STRUCTURES,TwoTubularStructures,unknown,unknown,none,unknown,TwoTubularStructures,unknown,
"The right hook dissects connective tissue in the hepatocystic triangle, separating the two tubular structures.",0405e4b0-843a-469d-a235-6a12383bc1db,0405e4b0-843a-469d-a235-6a12383bc1db__C1__avg__c_001500_002100,coarse,1,17,right_instrument,Hook,DISSECT_ISOLATE_TUBULAR_STRUCTURES,TwoTubularStructures,unknown,unknown,none,unknown,TwoTubularStructures,unknown,
"The right hook dissects connective tissue in the hepatocystic triangle, separating the two tubular structures.",14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb,14d2ecc3-bbdb-42e1-9e69-91b72d1f7cfb__C1__avg__c_000750_001200,fine_0,1,17,right_instrument,Hook,DISSECT_ISOLATE_TUBULAR_STRUCTURES,TwoTubularStructures,unknown,unknown,none,unknown,TwoTubularStructures,unknown,
"The right hook dissects connective tissue at the liver bed, separating the gallbladder.",01950655-a507-4514-abe5-d13ff593ec4d,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001950_002400,fine_0,1,12,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,unknown,unknown,none,reveal_detachment,LiverBed,unknown,
The right hook dissects connective tissue from the liver bed to separate the gallbladder.,004fa282-7e76-473e-bf34-01fe831368dc,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,fine_0,1,12,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
The right hook dissects connective tissue from the liver bed to separate the gallbladder.,01950655-a507-4514-abe5-d13ff593ec4d,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001050_001500,coarse,1,12,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
The right hook dissects connective tissue from the liver bed to separate the gallbladder.,10784ea7-8272-4b76-86c5-0f90cf74c750,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,fine_0,1,12,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
The right hook dissects connective tissue from the liver bed to separate the gallbladder.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,coarse,1,12,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
"The right hook dissects connective tissue from the liver bed, separating the gallbladder.",004fa282-7e76-473e-bf34-01fe831368dc,004fa282-7e76-473e-bf34-01fe831368dc__C3__avg__c_001350_002100,coarse,1,12,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
"The right hook dissects connective tissue from the liver bed, separating the gallbladder.",01950655-a507-4514-abe5-d13ff593ec4d,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001950_002400,coarse,1,12,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
"The right hook dissects connective tissue from the liver bed, separating the gallbladder.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_000600_000900,fine_0,1,12,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
"The right-sided hook dissects connective tissue from the liver bed, separating the gallbladder.",06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,fine_0,1,12,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
The right hook dissects connective tissue at the liver bed to separate the gallbladder.,13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C3__avg__c_001800_002100,coarse,2,12,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,unknown,unknown,none,reveal_detachment,LiverBed,unknown,
The right hook dissects connective tissue to separate the gallbladder from the liver bed.,06cc10f4-8b31-4112-b024-ea1818c5d096,06cc10f4-8b31-4112-b024-ea1818c5d096__C3__avg__c_000600_001050,coarse,1,13,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
The right hook dissects connective tissue to separate the gallbladder from the liver bed.,10784ea7-8272-4b76-86c5-0f90cf74c750,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,fine_1,1,13,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
The right hook dissects connective tissue to separate the gallbladder from the liver bed.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_000900_001350,fine_0,1,13,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
The right hook dissects connective tissue to separate the gallbladder from the liver bed.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_001500_001800,fine_0,1,13,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
The right hook dissects connective tissue to separate the lower third of the gallbladder from the liver bed.,01950655-a507-4514-abe5-d13ff593ec4d,01950655-a507-4514-abe5-d13ff593ec4d__C3__avg__c_001050_001500,fine_0,1,13,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
"The right hook dissects connective tissue, separating the lower third of the gallbladder from the liver bed.",10784ea7-8272-4b76-86c5-0f90cf74c750,10784ea7-8272-4b76-86c5-0f90cf74c750__C3__avg__c_000150_000900,coarse,1,13,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
The right-sided hook dissects connective tissue to separate the gallbladder from the liver bed.,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1,1971efbe-2e68-4e13-ba04-2bc6ed76b4f1__C3__avg__c_001500_001800,coarse,1,13,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
"The right hook lifts and levers the gallbladder upward, improving exposure of the liver bed and dissection plane.",13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C3__avg__c_001800_002100,fine_0,1,58,right_instrument,Hook,DISSECT_LIVER_BED,LiverBed,unknown,cephalad/upward,none,improve_exposure,LiverBed,unknown,
An unclear tool (hook) dissects connective tissue to separate the gallbladder from the liver bed.,16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C3__avg__c_000600_000900,coarse,1,13,unknown,Hook,DISSECT_LIVER_BED,LiverBed,on,unknown,none,reveal_detachment,LiverBed,unknown,
The right bipolar dissected connective tissue in the hepatocystic triangle to isolate two structures.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000600_000750,coarse,1,17,right_instrument,Bipolar,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
"The right bipolar dissects connective tissue in the hepatocystic triangle, creating a clear window.",021ebd6a-3195-40ac-b86d-99ac5e5ef621,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C2__avg__c_000450_001050,coarse,1,17,right_instrument,Bipolar,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,delineate_structures,HepatocysticTriangle,unknown,
"The right bipolar dissects connective tissue within the hepatocystic triangle, clearing it from the underlying structures.",021ebd6a-3195-40ac-b86d-99ac5e5ef621,021ebd6a-3195-40ac-b86d-99ac5e5ef621__C2__avg__c_000450_001050,fine_0,1,17,right_instrument,Bipolar,DISSECT_TRIANGLE,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
"The right bipolar dissects connective tissue within the hepatocystic triangle, clearing the view.",1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000600_000750,fine_0,1,17,right_instrument,Bipolar,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
"The right bipolar dissects connective tissue within the hepatocystic triangle, improving its clarity.",13c28a0c-ff1a-4e46-a9e9-b1b125e01216,13c28a0c-ff1a-4e46-a9e9-b1b125e01216__C2__avg__c_000600_000750,coarse,1,17,right_instrument,Bipolar,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
"The right bipolar dissects connective tissue within the hepatocystic triangle, separating key structures.",1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C2__avg__c_001050_001350,fine_0,1,17,right_instrument,Bipolar,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right bipolar dissects connective tissue and fat from the hepatocystic triangle.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C2__avg__c_001050_001350,coarse,1,19,right_instrument,Bipolar,DISSECT_TRIANGLE,HepatocysticTriangle,on,unknown,none,unknown,HepatocysticTriangle,unknown,
The right bipolar dissects connective tissue within the hepatocystic triangle.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001050_001350,fine_0,1,19,right_instrument,Bipolar,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right bipolar dissects fat and connective tissue in the Hepatocystic triangle.,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000000_000150,fine_0,1,19,right_instrument,Bipolar,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
The right bipolar dissects fat and connective tissue to clear the hepatocystic triangle.,0e5b6b69-2ddb-497e-bc25-aad5fe062df8,0e5b6b69-2ddb-497e-bc25-aad5fe062df8__C2__avg__c_001500_001800,coarse,1,19,right_instrument,Bipolar,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
"The right bipolar dissects connective tissue in the hepatocystic triangle, isolating the tubular structures.",1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_000000_000150,coarse,1,17,right_instrument,Bipolar,DISSECT_TRIANGLE,TwoTubularStructures,unknown,unknown,none,unknown,TwoTubularStructures,unknown,
"The right grasper dissects connective tissue in the hepatocystic triangle, exposing the underlying structures.",1b7257e7-f6bb-4c2e-96eb-5c0e783f2983,1b7257e7-f6bb-4c2e-96eb-5c0e783f2983__C1__avg__c_001650_002250,fine_0,1,17,right_instrument,Grasper,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,improve_exposure,HepatocysticTriangle,unknown,
"The right grasper dissects connective tissue within the hepatocystic triangle, revealing the underlying structures.",16e33e34-9e96-4156-b4ce-7591dcf813da,16e33e34-9e96-4156-b4ce-7591dcf813da__C2__avg__c_001200_001650,coarse,1,17,right_instrument,Grasper,DISSECT_TRIANGLE,HepatocysticTriangle,unknown,unknown,none,unknown,HepatocysticTriangle,unknown,
